Block,X,Y,Z
Plane,3,0,3
blue2x2(Clone),5.2,0.7100001,5.2
red2x2(Clone),5.2,2.129056,5.2
yellow2x2(Clone),5.2,3.548113,5.2
orang2x2(Clone),1.000005,3.54658,5.2
red2x2(Clone),3.099994,3.548477,5.200009
blue2x4(Clone),3.1,2.128767,4.2
red2x4(Clone),2.1,0.7100001,5.2
blue2x2(Clone),1.000005,2.127869,5.2
yellow2x2(Clone),5.199999,3.548868,0.9999979
green2x2(Clone),5.2,3.548112,3.1
yellow2x2(Clone),5.2,2.129056,3.1
green2x2(Clone),5.2,0.7100001,1
red2x4(Clone),4.2,2.129434,0.9999982
red2x4(Clone),4.2,0.7100001,3.1
yellow2x4(Clone),2.099994,3.549062,3.099994
green2x4(Clone),2.1,3.549417,0.9999972
orang2x2(Clone),1,0.7100001,3.1
green2x2(Clone),1,2.129483,3.099997
green2x2(Clone),3.100005,0.7100003,0.9999952
green2x2(Clone),1,0.7100001,1
blue2x2(Clone),1,2.129627,0.9999988
