Block,X,Y,Z,Rotation
Plane,1,0,1,True
oneCurveRed(Clone),2,2,3,True
blue2x2(Clone),2,2,2,True
twoCurveGreen(Clone),1,1,2,True
oneCurveOrange(Clone),1,1,3,True
green2x4(Clone),2,0,3,True
orang2x2(Clone),2,0,2,True
red2x2(Clone),0,1,2,True
twoCurveRed(Clone),0,0,2,True
orang2x2(Clone),1,2,2,True
oneCurveGreen(Clone),2,2,0,True
yellow2x2(Clone),2,1,0,True
red2x2(Clone),2,0,0,True
blue2x4(Clone),2,1,1,True
yellow2x2(Clone),2,0,1,True
red2x2(Clone),1,0,1,True
orang2x2(Clone),1,1,1,True
blue2x2(Clone),0,0,1,True
orang2x2(Clone),1,1,0,True
yellow2x2(Clone),1,0,0,True
blue2x2(Clone),0,0,0,True
